dataset,gnn,hops,device,test_acc,test_macro_f1,test_auc,avg_epoch_time_s,avg_infer_time_s,n_users,n_edges
stackoverflow_ml,sage,1,cpu,0.8707482993197279,0.803489762893126,0.925055617352614,0.024337087225057986,0.0019933623996621465,973,865
stackoverflow_ml,sage,2,cpu,0.782312925170068,0.7405119152691968,0.8794493882091213,0.02005246368742064,0.0018884366500969917,973,865
stackoverflow_ml,sage,3,cpu,0.8027210884353742,0.7600337742752603,0.8788932146829812,0.016624867750033447,0.0022095609502684964,973,865
stackoverflow_ml,sage,4,cpu,0.8163265306122449,0.7796101949025487,0.9080923248053393,0.02008516966245679,0.0033779993002099216,973,865
stackoverflow_ml,gcn,1,cpu,0.5578231292517006,0.5296115787919067,0.7473581757508342,0.004704255225124143,0.00046040255019761387,973,865
stackoverflow_ml,gcn,2,cpu,0.7619047619047619,0.6750457904376934,0.7882369299221357,0.008071708700026648,0.0010391847999017046,973,865
stackoverflow_ml,gcn,3,cpu,0.7755102040816326,0.6741014444071213,0.7634872080088988,0.0076811957999780136,0.0008078966000539367,973,865
stackoverflow_ml,gcn,4,cpu,0.7755102040816326,0.6666666666666666,0.7623748609566184,0.009719594124976538,0.0019025149000299279,973,865
stackoverflow_ml,sgc,1,cpu,0.5850340136054422,0.5643915472431382,0.7465239154616241,0.0041227313126000805,0.000368283200168662,973,865
stackoverflow_ml,sgc,2,cpu,0.6666666666666666,0.6100795755968169,0.753754171301446,0.004433017962332997,0.0005306839999320801,973,865
stackoverflow_ml,sgc,3,cpu,0.782312925170068,0.6874003189792663,0.7009176863181312,0.004478389000109928,0.0007455324001966801,973,865
stackoverflow_ml,sgc,4,cpu,0.7891156462585034,0.66266933155674,0.7420745272525028,0.004893159837592975,0.0010297053997419426,973,865
stackoverflow_ml,sage,1,cuda,0.7687074829931972,0.7370580808080809,0.8875139043381535,0.0034802893875166773,0.0006949242999326089,973,865
stackoverflow_ml,sage,2,cuda,0.8095238095238095,0.769901610017889,0.8880700778642937,0.004884425412387827,0.0005649197496495617,973,865
stackoverflow_ml,sage,3,cuda,0.7891156462585034,0.753315649867374,0.9192157953281425,0.00504216373753934,0.0008082599500994547,973,865
stackoverflow_ml,sage,4,cuda,0.8095238095238095,0.7729479258605472,0.885567296996663,0.006148427425046066,0.0010025078496255445,973,865
stackoverflow_ml,gcn,1,cuda,0.7142857142857143,0.6448458352508053,0.76793659621802,0.0022798085749400343,0.00028107070002079124,973,865
stackoverflow_ml,gcn,2,cuda,0.7414965986394558,0.6568796068796069,0.7473581757508343,0.003356622812520982,0.0004864681503022439,973,865
stackoverflow_ml,gcn,3,cuda,0.782312925170068,0.6729699666295884,0.7576473859844272,0.00420711289996234,0.0006547296002281655,973,865
stackoverflow_ml,gcn,4,cuda,0.7619047619047619,0.6617134591360379,0.7440211345939933,0.005232393349933773,0.0008592439498897875,973,865
stackoverflow_ml,sgc,1,cuda,0.5714285714285714,0.5616094674556213,0.7684927697441601,0.0023545427000726702,0.00029666169984921,973,865
stackoverflow_ml,sgc,2,cuda,0.7278911564625851,0.625,0.6761679644048944,0.002492868475042087,0.00038360249982360983,973,865
stackoverflow_ml,sgc,3,cuda,0.7482993197278912,0.634598589183742,0.6630978865406006,0.002465581675005524,0.00048567955009275464,973,865
stackoverflow_ml,sgc,4,cuda,0.8027210884353742,0.6925351604760188,0.7626529477196886,0.002531097975065677,0.0005535165999390301,973,865
