model,accuracy,macro_f1,auc,precision_pos,recall_pos,f1_pos,meta_count,meta_prec,meta_rec,meta_f1
xgboost,0.9906367041198502,0.9836552294083438,0.9994190192799527,0.967741935483871,0.9782608695652174,0.972972972972973,80,1.0,0.95,0.9743589743589743
mlp,0.7471910112359551,0.6825277991852912,0.8773761804052724,0.39303482587064675,0.8586956521739131,0.5392491467576792,80,1.0,0.675,0.8059701492537313
gnn,0.900749063670412,0.848803602814298,0.9414930897108007,0.6511627906976745,0.9130434782608695,0.7601809954751131,80,1.0,0.8,0.888888888888889
