model,accuracy,macro_f1,auc,precision_pos,recall_pos,f1_pos,meta_count,meta_prec,meta_rec,meta_f1
xgboost,0.8979591836734694,0.8484848484848484,0.9713570634037821,0.75,0.7741935483870968,0.7619047619047619,11,1.0,0.36363636363636365,0.5333333333333333
mlp,0.7551020408163265,0.7244897959183674,0.9094827586206897,0.4626865671641791,1.0,0.6326530612244898,11,1.0,1.0,1.0
gnn,0.8163265306122449,0.7796101949025487,0.9011401557285873,0.5357142857142857,0.967741935483871,0.6896551724137931,11,1.0,1.0,1.0
